                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4176,                0.89732,                 1.2024,                0.80679,                0.61116,                0.72405,                0.45471,                  1.308,                0.79534,                 1.1698,              0.0093466,              0.0093466,              0.0093466
                     35,                  1.418,                0.89485,                  1.203,                0.81273,                0.60481,                0.72187,                0.45417,                 1.3117,                0.79305,                 1.1693,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.4161,                0.89477,                 1.2018,                0.81073,                 0.6101,                0.72659,                0.45611,                 1.3077,                0.79032,                  1.168,               0.009307,               0.009307,               0.009307
                     37,                 1.4156,                0.89255,                 1.2005,                0.81261,                0.60979,                  0.726,                0.45658,                  1.306,                0.78717,                 1.1683,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.4131,                0.88885,                 1.1997,                0.81643,                0.60915,                0.72465,                0.45703,                 1.3051,                0.78827,                 1.1636,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.4146,                0.88775,                  1.197,                0.81378,                0.61077,                0.72533,                0.45729,                 1.3036,                0.78898,                 1.1678,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.4092,                0.88554,                 1.1978,                0.81694,                0.60747,                0.72547,                0.45726,                 1.2993,                 0.7863,                 1.1645,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.4084,                0.88551,                 1.1969,                0.81763,                0.61187,                0.72766,                0.45982,                 1.3018,                0.78471,                  1.164,               0.009208,               0.009208,               0.009208
                     42,                 1.4086,                0.88233,                  1.195,                 0.8128,                0.61162,                0.72766,                0.46077,                 1.2991,                0.78168,                 1.1629,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.4067,                 0.8804,                 1.1938,                0.80914,                0.61345,                0.72933,                0.46023,                 1.2974,                0.78046,                 1.1614,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.4046,                0.87891,                  1.194,                0.81203,                0.61482,                0.72974,                0.46124,                 1.2971,                0.77631,                 1.1625,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.4031,                0.87555,                 1.1922,                0.81201,                0.61584,                 0.7307,                0.46111,                 1.2954,                 0.7736,                 1.1615,              0.0091288,              0.0091288,              0.0091288
                     46,                  1.401,                 0.8744,                 1.1889,                0.81334,                0.61581,                0.73205,                0.46176,                 1.2947,                0.77011,                 1.1579,               0.009109,               0.009109,               0.009109
                     47,                 1.4007,                 0.8749,                 1.1914,                0.81262,                0.61851,                0.73225,                0.46224,                 1.2948,                0.77455,                 1.1594,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.4014,                0.87652,                 1.1914,                0.81092,                0.61651,                 0.7309,                 0.4622,                 1.2917,                0.77164,                  1.159,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.3984,                0.87218,                 1.1892,                0.81814,                 0.6154,                 0.7326,                0.46334,                 1.2936,                0.76834,                  1.158,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.3988,                0.87322,                 1.1893,                0.81138,                0.61978,                0.73321,                0.46291,                 1.2926,                0.76885,                 1.1584,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.3976,                0.87199,                 1.1899,                0.81144,                0.61698,                0.73255,                0.46393,                 1.2888,                0.76785,                 1.1559,                0.00901,                0.00901,                0.00901
