                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.37111,                0.59454,                0.83351,                0.84232,                0.83712,                0.84699,                0.82671,                0.28692,                0.53413,                0.80622,               0.070006,              0.0033326,              0.0033326
                      1,                0.31292,                0.30282,                0.80696,                0.98903,                0.83678,                0.92011,                0.89116,                0.26531,                0.50138,                0.81154,               0.037806,              0.0044662,              0.0044662
                      2,                0.29113,                0.27181,                0.81758,                0.98825,                0.84753,                0.92132,                0.88535,                 0.2529,                0.42177,                0.81291,              0.0034066,              0.0033998,              0.0033998
