                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.06805,                0.06266,                0.82743,                      1,                      1,                  0.995,                0.99496,                0.04828,                0.04213,                0.67837,               0.008779,               0.008779,               0.008779
                     39,                0.06766,                0.06126,                0.82779,                      1,                      1,                  0.995,                0.99496,                0.04748,                0.04091,                0.67824,               0.008746,               0.008746,               0.008746
                     40,                0.06904,                0.06257,                0.82801,                      1,                      1,                  0.995,                0.99495,                0.04737,                0.04032,                0.67832,               0.008713,               0.008713,               0.008713
                     41,                0.06912,                0.06373,                0.82796,                      1,                      1,                  0.995,                0.99496,                0.04697,                0.03991,                 0.6782,                0.00868,                0.00868,                0.00868
                     42,                0.06795,                0.06267,                0.82722,                      1,                      1,                  0.995,                0.99495,                  0.047,                0.03975,                0.67817,               0.008647,               0.008647,               0.008647
                     43,                0.06767,                0.06208,                0.82687,                      1,                      1,                  0.995,                0.99496,                0.04653,                0.03947,                0.67812,               0.008614,               0.008614,               0.008614
                     44,                0.06689,                0.06074,                0.82705,                      1,                      1,                  0.995,                0.99495,                0.04569,                0.03913,                0.67796,               0.008581,               0.008581,               0.008581
                     45,                0.06667,                0.06196,                0.82756,                      1,                      1,                  0.995,                0.99495,                0.04479,                0.03881,                0.67782,               0.008548,               0.008548,               0.008548
                     46,                0.06648,                0.06145,                0.82685,                      1,                      1,                  0.995,                0.99496,                0.04489,                0.03942,                0.67781,               0.008515,               0.008515,               0.008515
                     47,                0.06666,                0.06204,                0.82638,                      1,                      1,                  0.995,                0.99496,                 0.0451,                0.03998,                0.67771,               0.008482,               0.008482,               0.008482
                     48,                0.06692,                0.06212,                0.82785,                      1,                      1,                  0.995,                0.99496,                0.04545,                0.04071,                0.67776,               0.008449,               0.008449,               0.008449
                     49,                0.06701,                0.06199,                0.82762,                      1,                      1,                  0.995,                0.99496,                0.04576,                0.04118,                0.67779,               0.008416,               0.008416,               0.008416
                     50,                0.06711,                0.06154,                  0.827,                      1,                      1,                  0.995,                0.99496,                0.04656,                0.04278,                0.67788,               0.008383,               0.008383,               0.008383
                     51,                 0.0665,                0.06113,                0.82651,                      1,                      1,                  0.995,                0.99495,                0.04674,                 0.0428,                0.67785,                0.00835,                0.00835,                0.00835
                     52,                0.06769,                0.06245,                0.82624,                      1,                      1,                  0.995,                0.99496,                0.04714,                0.04298,                 0.6779,               0.008317,               0.008317,               0.008317
                     53,                0.06708,                0.06169,                0.82711,                      1,                      1,                  0.995,                0.99496,                    inf,                0.04308,                0.67792,               0.008284,               0.008284,               0.008284
                     54,                0.06614,                0.06168,                0.82684,                      1,                      1,                  0.995,                0.99496,                0.04692,                0.04247,                0.67786,               0.008251,               0.008251,               0.008251
                     55,                0.06584,                0.06114,                0.82676,                      1,                      1,                  0.995,                0.99496,                0.04609,                0.04193,                0.67778,               0.008218,               0.008218,               0.008218
                     56,                0.06753,                 0.0618,                0.82742,                      1,                      1,                  0.995,                0.99496,                0.04589,                0.04181,                0.67775,               0.008185,               0.008185,               0.008185
                     57,                0.06665,                0.06118,                0.82767,                      1,                      1,                  0.995,                0.99496,                0.04613,                0.04138,                0.67774,               0.008152,               0.008152,               0.008152
                     58,                0.06579,                0.05964,                0.82784,                      1,                      1,                  0.995,                0.99496,                 0.0459,                0.04104,                0.67768,               0.008119,               0.008119,               0.008119
                     59,                0.06735,                0.06223,                 0.8271,                      1,                      1,                  0.995,                0.99496,                0.04606,                0.04108,                0.67773,               0.008086,               0.008086,               0.008086
